SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0003, 0, -0.0436, -1.0073, 0.0351, -0.0492, -0.0416, -0.0517, -23.9900, -106.8382, 42.6436, 91.7343, -2.5661, -97.7841, 0.4698, -0.4600, 0.5509, 0.5140, -0.0011, 0.0088, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0197, 1, -0.0431, -1.0066, 0.0346, 0.0508, -0.1116, 0.0683, -24.7510, -106.4709, 42.9759, 91.7352, -2.5675, -97.7861, 0.4698, -0.4600, 0.5509, 0.5140, -0.0016, 0.0081, -0.0044, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0397, 2, -0.0447, -1.0080, 0.0344, -0.0192, 0.1284, 0.0783, -24.0193, -106.8382, 42.6738, 91.7265, -2.5654, -97.7834, 0.4698, -0.4600, 0.5509, 0.5140, -0.0001, 0.0095, -0.0043, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0597, 3, -0.0465, -1.0067, 0.0344, -0.0292, -0.0116, 0.1283, -24.8973, -106.2732, 43.3989, 91.7259, -2.5679, -97.7833, 0.4699, -0.4600, 0.5509, 0.5140, 0.0017, 0.0082, -0.0043, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0797, 4, -0.0469, -1.0069, 0.0356, 0.0308, -0.0016, -0.0317, -24.2242, -107.0924, 42.7946, 91.7210, -2.5744, -97.7825, 0.4699, -0.4599, 0.5509, 0.5140, 0.0021, 0.0083, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0997, 5, -0.0475, -1.0071, 0.0366, -0.0992, 0.0228, -0.0755, -23.5218, -108.9285, 43.3083, 91.7194, -2.5725, -97.7822, 0.4699, -0.4599, 0.5509, 0.5140, 0.0026, 0.0085, -0.0066, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1197, 6, -0.0448, -1.0085, 0.0362, -0.0242, 0.0319, -0.1461, -24.6632, -106.5839, 43.4895, 91.7187, -2.5697, -97.7820, 0.4699, -0.4600, 0.5508, 0.5140, -0.0001, 0.0100, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1397, 7, -0.0433, -1.0071, 0.0358, -0.0742, 0.0919, -0.1561, -24.4876, -106.2449, 42.8853, 91.7250, -2.5516, -97.7818, 0.4698, -0.4601, 0.5508, 0.5141, -0.0013, 0.0086, -0.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1597, 8, -0.0430, -1.0066, 0.0342, -0.0042, 0.0519, 0.0839, -24.0486, -106.6687, 43.1572, 91.7247, -2.5530, -97.7809, 0.4698, -0.4601, 0.5508, 0.5141, -0.0016, 0.0081, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1797, 9, -0.0453, -1.0073, 0.0348, 0.0958, -0.0681, 0.0439, -23.8437, -106.6122, 43.4593, 91.7250, -2.5516, -97.7820, 0.4698, -0.4601, 0.5508, 0.5141, 0.0008, 0.0087, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1997, 10, -0.0452, -1.0087, 0.0363, 0.1558, 0.0019, 0.0539, -24.5168, -106.0190, 43.4593, 91.7284, -2.5526, -97.7819, 0.4698, -0.4601, 0.5508, 0.5140, 0.0006, 0.0101, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2197, 11, -0.0460, -1.0076, 0.0363, -0.0142, -0.0181, 0.0839, -24.4583, -106.4144, 43.7010, 91.7281, -2.5543, -97.7826, 0.4698, -0.4601, 0.5508, 0.5140, 0.0015, 0.0090, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
