SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0003, 0, -0.0487, -1.0058, 0.0387, 0.0391, 0.1066, -0.0158, -27.1508, -106.3297, 47.4776, 91.9637, -2.7205, -39.7429, 0.6591, -0.6705, 0.2599, 0.2201, 0.0012, 0.0075, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0197, 1, -0.0477, -1.0056, 0.0400, -0.0809, -0.0834, 0.0442, -26.7703, -106.4427, 47.2963, 91.9660, -2.7256, -39.7438, 0.6591, -0.6705, 0.2599, 0.2200, 0.0002, 0.0073, -0.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0397, 2, -0.0482, -1.0060, 0.0408, -0.0409, -0.0234, 0.0142, -26.4777, -107.6573, 46.7223, 91.9650, -2.7259, -39.7446, 0.6591, -0.6705, 0.2599, 0.2201, 0.0007, 0.0077, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0597, 3, -0.0490, -1.0050, 0.0395, -0.0709, -0.0034, 0.0942, -26.1557, -107.0076, 47.4776, 91.9639, -2.7281, -39.7444, 0.6591, -0.6705, 0.2599, 0.2200, 0.0014, 0.0067, -0.0053, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0797, 4, -0.0495, -1.0058, 0.0390, -0.0509, -0.0534, -0.0058, -24.8095, -107.0641, 47.9006, 91.9629, -2.7332, -39.7455, 0.6592, -0.6705, 0.2600, 0.2200, 0.0018, 0.0075, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0997, 5, -0.0493, -1.0059, 0.0403, -0.0009, 0.0466, -0.0158, -25.8338, -109.5217, 47.3265, 91.9628, -2.7330, -39.7445, 0.6592, -0.6705, 0.2600, 0.2200, 0.0016, 0.0077, -0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1197, 6, -0.0499, -1.0056, 0.0381, 0.0591, 0.0266, 0.1042, -26.4777, -107.4314, 47.3567, 91.9478, -2.7364, -39.7439, 0.6593, -0.6704, 0.2599, 0.2200, 0.0022, 0.0073, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1397, 7, -0.0490, -1.0059, 0.0379, 0.0191, -0.0334, -0.0158, -27.4142, -106.7252, 46.8733, 91.9480, -2.7358, -39.7443, 0.6592, -0.6704, 0.2599, 0.2200, 0.0012, 0.0076, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1597, 8, -0.0500, -1.0059, 0.0391, 0.0091, -0.0334, 0.0242, -26.7703, -106.7252, 47.9912, 91.9476, -2.7366, -39.7452, 0.6593, -0.6704, 0.2600, 0.2200, 0.0023, 0.0076, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1797, 9, -0.0503, -1.0061, 0.0390, -0.0309, -0.0634, 0.0042, -26.8874, -106.1885, 47.6286, 91.9552, -2.7452, -39.7471, 0.6592, -0.6704, 0.2600, 0.2200, 0.0025, 0.0078, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1997, 10, -0.0485, -1.0055, 0.0397, 0.0891, -0.0434, -0.0458, -26.7411, -106.1320, 47.6589, 91.9566, -2.7441, -39.7478, 0.6592, -0.6704, 0.2600, 0.2200, 0.0006, 0.0072, -0.0056, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2197, 11, -0.0486, -1.0062, 0.0414, 0.0391, -0.0234, -0.0658, -27.2386, -107.7421, 46.6921, 91.9690, -2.7331, -39.7484, 0.6591, -0.6705, 0.2600, 0.2200, 0.0008, 0.0079, -0.0073, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2397, 12, -0.0474, -1.0068, 0.0392, 0.0291, -0.0334, -0.0058, -26.9752, -106.8382, 46.4201, 91.9690, -2.7325, -39.7489, 0.6591, -0.6705, 0.2600, 0.2200, -0.0003, 0.0085, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2597, 13, -0.0469, -1.0051, 0.0396, -0.0409, 0.0366, 0.0142, -25.7168, -109.9454, 46.9035, 91.9682, -2.7328, -39.7486, 0.6591, -0.6705, 0.2600, 0.2200, -0.0008, 0.0068, -0.0053, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2797, 14, -0.0484, -1.0064, 0.0399, -0.0256, 0.0581, 0.1698, -26.8289, -107.5443, 47.3567, 91.9814, -2.7371, -39.7481, 0.6590, -0.6706, 0.2600, 0.2200, 0.0007, 0.0081, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2997, 15, -0.0486, -1.0041, 0.0376, -0.1364, 0.0117, 0.1208, -25.8631, -107.7986, 47.6589, 91.9788, -2.7395, -39.7475, 0.6591, -0.6705, 0.2600, 0.2200, 0.0008, 0.0058, -0.0031, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3197, 16, -0.0501, -1.0056, 0.0381, 0.0636, -0.0483, 0.0908, -26.8874, -106.3862, 47.3265, 91.9695, -2.7657, -39.7470, 0.6592, -0.6704, 0.2602, 0.2198, 0.0023, 0.0073, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3397, 17, -0.0513, -1.0048, 0.0378, 0.0336, 0.0917, 0.0508, -25.2778, -108.2788, 47.4171, 91.9701, -2.7667, -39.7454, 0.6592, -0.6704, 0.2602, 0.2198, 0.0030, 0.0065, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3597, 18, -0.0515, -1.0057, 0.0389, 0.0436, 0.0917, -0.0092, -25.6875, -106.5274, 47.3265, 91.9709, -2.7666, -39.7437, 0.6592, -0.6704, 0.2602, 0.2198, 0.0032, 0.0075, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3797, 19, -0.0504, -1.0053, 0.0381, 0.0936, 0.0017, -0.0892, -27.0337, -107.1206, 47.8099, 91.9671, -2.7674, -39.7434, 0.6592, -0.6704, 0.2602, 0.2198, 0.0022, 0.0071, -0.0038, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3997, 20, -0.0484, -1.0057, 0.0379, -0.0064, 0.0217, -0.1992, -26.8289, -106.4992, 46.7525, 91.9666, -2.7640, -39.7431, 0.6592, -0.6704, 0.2601, 0.2198, 0.0002, 0.0075, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4197, 21, -0.0468, -1.0065, 0.0405, 0.0636, -0.0083, -0.1492, -26.3021, -106.2449, 47.5984, 91.9846, -2.7464, -39.7451, 0.6591, -0.6706, 0.2601, 0.2199, -0.0014, 0.0083, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4397, 22, -0.0457, -1.0067, 0.0408, -0.0264, -0.1183, 0.0008, -26.5655, -106.5839, 47.8703, 91.9844, -2.7464, -39.7467, 0.6591, -0.6706, 0.2601, 0.2199, -0.0022, 0.0084, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4597, 23, -0.0463, -1.0061, 0.0405, -0.0064, 0.0517, -0.0292, -26.8289, -108.0246, 47.2057, 91.9840, -2.7462, -39.7454, 0.6591, -0.6706, 0.2601, 0.2199, -0.0016, 0.0079, -0.0059, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4797, 24, -0.0476, -1.0056, 0.0386, 0.0336, -0.0783, 0.0608, -27.4435, -107.0924, 47.1452, 91.9849, -2.7465, -39.7464, 0.6591, -0.6706, 0.2601, 0.2199, -0.0003, 0.0073, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4997, 25, -0.0496, -1.0055, 0.0387, -0.0464, 0.0117, 0.1208, -26.4484, -106.7252, 46.9942, 91.9839, -2.7491, -39.7457, 0.6591, -0.6706, 0.2601, 0.2199, 0.0017, 0.0072, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5197, 26, -0.0511, -1.0055, 0.0386, -0.0064, 0.0517, 0.1208, -26.4777, -106.7534, 47.8703, 91.9779, -2.7654, -39.7438, 0.6591, -0.6705, 0.2602, 0.2198, 0.0031, 0.0073, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5397, 27, -0.0501, -1.0056, 0.0384, 0.0236, 0.0717, -0.0692, -26.8581, -107.5726, 47.5984, 91.9784, -2.7641, -39.7428, 0.6591, -0.6705, 0.2602, 0.2198, 0.0019, 0.0074, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5597, 28, -0.0505, -1.0069, 0.0378, -0.1264, -0.0883, 0.0008, -27.3264, -106.5839, 46.9338, 91.9755, -2.7641, -39.7440, 0.6591, -0.6705, 0.2602, 0.2198, 0.0023, 0.0086, -0.0033, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5797, 29, -0.0501, -1.0051, 0.0366, -0.0664, 0.0017, -0.0792, -26.3021, -107.4314, 47.7797, 91.9567, -2.7702, -39.7430, 0.6593, -0.6704, 0.2601, 0.2198, 0.0018, 0.0068, -0.0024, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5997, 30, -0.0493, -1.0052, 0.0385, 0.1536, 0.0117, -0.0992, -26.0972, -106.1885, 47.3869, 91.9599, -2.7682, -39.7424, 0.6592, -0.6704, 0.2601, 0.2198, 0.0010, 0.0070, -0.0044, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.6197, 31, -0.0487, -1.0056, 0.0386, 0.1336, -0.0583, -0.1192, -26.0387, -107.0076, 47.5984, 91.9669, -2.7720, -39.7442, 0.6592, -0.6704, 0.2602, 0.2198, 0.0004, 0.0073, -0.0044, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.6397, 32, -0.0493, -1.0047, 0.0389, 0.0836, 0.0017, -0.0892, -27.2386, -107.6291, 47.7193, 91.9685, -2.7701, -39.7447, 0.6592, -0.6704, 0.2602, 0.2198, 0.0010, 0.0065, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.6597, 33, -0.0497, -1.0048, 0.0396, 0.1436, -0.0083, -0.1092, -26.1557, -106.5274, 46.9942, 91.9715, -2.7679, -39.7443, 0.6592, -0.6704, 0.2602, 0.2198, 0.0014, 0.0066, -0.0053, 0.0000, 0.0000, 0.0000, 0.0000
