SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0001, 0, -0.0135, -1.0045, 0.0231, 0.1172, -0.0623, -0.0074, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3051, -0.3066, 0.0005, 0.0048, -0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0101, 1, -0.0125, -1.0050, 0.0227, -0.0621, -0.0641, -0.0575, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3051, -0.3066, -0.0005, 0.0053, -0.0003, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0201, 2, -0.0125, -1.0052, 0.0215, 0.0259, 0.0396, -0.0563, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3052, -0.3065, -0.0004, 0.0055, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0301, 3, -0.0133, -1.0046, 0.0226, 0.0264, 0.0400, 0.0137, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3052, -0.3065, 0.0003, 0.0049, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0401, 4, -0.0138, -1.0046, 0.0231, 0.0432, 0.0567, -0.1085, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3052, -0.3065, 0.0009, 0.0049, -0.0006, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0501, 5, -0.0130, -1.0061, 0.0225, -0.0806, -0.0127, -0.0386, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3052, -0.3065, 0.0001, 0.0064, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0601, 6, -0.0131, -1.0045, 0.0217, 0.0275, -0.0459, -0.0058, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3052, -0.3065, 0.0002, 0.0048, 0.0008, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0701, 7, -0.0120, -1.0045, 0.0225, 0.0630, -0.0632, -0.0941, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, -0.0009, 0.0048, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0801, 8, -0.0134, -1.0042, 0.0234, -0.0441, -0.0639, -0.0403, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0008, 0.0046, -0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0901, 9, -0.0139, -1.0050, 0.0217, -0.0822, 0.0729, -0.0890, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0013, 0.0054, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1001, 10, -0.0121, -1.0048, 0.0227, 0.0102, -0.0803, 0.0111, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, -0.0005, 0.0051, -0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1101, 11, -0.0131, -1.0045, 0.0236, 0.0793, 0.0919, 0.0142, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0004, 0.0048, -0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1201, 12, -0.0131, -1.0065, 0.0224, 0.0262, 0.0572, 0.0316, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0004, 0.0068, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1301, 13, -0.0134, -1.0036, 0.0217, -0.0985, -0.0302, -0.0737, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0008, 0.0039, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1401, 14, -0.0135, -1.0047, 0.0228, 0.1179, -0.0966, 0.0093, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0009, 0.0050, -0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1501, 15, -0.0136, -1.0051, 0.0214, -0.0091, 0.0053, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0011, 0.0055, 0.0013, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1601, 16, -0.0127, -1.0047, 0.0237, -0.0620, -0.0640, -0.0400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6466, -0.3053, -0.3064, 0.0002, 0.0051, -0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1701, 17, -0.0134, -1.0053, 0.0238, 0.1016, -0.2169, -0.0108, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3053, -0.3064, 0.0008, 0.0056, -0.0011, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1801, 18, -0.0134, -1.0054, 0.0219, 0.1167, 0.0067, 0.0642, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3053, -0.3064, 0.0007, 0.0058, 0.0008, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1901, 19, -0.0131, -1.0044, 0.0237, 0.0103, -0.0802, 0.0286, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3053, -0.3064, 0.0004, 0.0048, -0.0009, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2001, 20, -0.0129, -1.0045, 0.0216, -0.0466, 0.1251, -0.0008, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3053, -0.3064, 0.0002, 0.0048, 0.0012, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2101, 21, -0.0134, -1.0046, 0.0237, -0.0272, 0.0223, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3053, -0.3064, 0.0007, 0.0050, -0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2201, 22, -0.0139, -1.0046, 0.0226, 0.0289, -0.1663, -0.0611, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6282, -0.6467, -0.3052, -0.3065, 0.0012, 0.0049, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2301, 23, -0.0139, -1.0049, 0.0218, 0.1526, -0.0450, -0.0425, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6282, -0.6467, -0.3052, -0.3065, 0.0010, 0.0053, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2401, 24, -0.0131, -1.0056, 0.0226, 0.0258, 0.0222, -0.1091, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6282, -0.6467, -0.3052, -0.3065, 0.0003, 0.0059, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2501, 25, -0.0127, -1.0055, 0.0218, 0.0625, -0.0635, -0.1641, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6282, -0.6467, -0.3052, -0.3064, -0.0002, 0.0059, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2601, 26, -0.0133, -1.0049, 0.0235, -0.0114, 0.1770, 0.0174, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6282, -0.6467, -0.3053, -0.3065, 0.0005, 0.0053, -0.0006, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2701, 27, -0.0130, -1.0048, 0.0225, -0.0462, 0.0734, -0.0545, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3052, -0.3065, 0.0002, 0.0051, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2801, 28, -0.0132, -1.0044, 0.0230, 0.0802, 0.0059, -0.0403, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3052, -0.3065, 0.0003, 0.0048, -0.0003, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2901, 29, -0.0124, -1.0049, 0.0220, 0.0624, 0.0231, 0.0128, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6283, -0.6467, -0.3052, -0.3065, -0.0005, 0.0052, 0.0006, 0.0000, 0.0000, 0.0000, 0.0000
