SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0003, 0, -0.0307, -1.0044, 0.0389, -0.1198, 0.0400, 0.0975, -38.6817, -96.2734, 39.7130, 92.0874, -1.3594, -52.0584, 0.6274, -0.6432, 0.3233, 0.2969, 0.0070, 0.0053, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0197, 1, -0.0284, -1.0066, 0.0385, -0.1198, 0.0000, -0.3525, -39.0622, -95.7932, 39.5015, 92.0816, -1.3570, -52.0579, 0.6274, -0.6432, 0.3232, 0.2969, 0.0047, 0.0075, -0.0021, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0397, 2, -0.0245, -1.0056, 0.0393, -0.0998, -0.0600, -0.3425, -39.4719, -96.2169, 40.2870, 92.0803, -1.3505, -52.0587, 0.6274, -0.6432, 0.3232, 0.2970, 0.0008, 0.0065, -0.0030, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0597, 3, -0.0212, -1.0070, 0.0402, 0.0802, 0.1100, -0.2225, -39.1207, -97.2904, 39.9547, 92.0815, -1.3466, -52.0570, 0.6274, -0.6432, 0.3232, 0.2970, -0.0023, 0.0080, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0797, 4, -0.0207, -1.0086, 0.0426, 0.0402, 0.0400, 0.0475, -39.4134, -95.8497, 40.2568, 92.0855, -1.3386, -52.0563, 0.6274, -0.6432, 0.3231, 0.2970, -0.0027, 0.0095, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0997, 5, -0.0225, -1.0068, 0.0414, -0.1198, 0.0300, 0.0675, -39.5890, -95.9627, 39.5619, 92.0835, -1.3404, -52.0560, 0.6274, -0.6432, 0.3231, 0.2970, -0.0009, 0.0077, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1197, 6, -0.0245, -1.0061, 0.0403, -0.0598, -0.0900, 0.1675, -39.7646, -97.9966, 38.8368, 92.0716, -1.3529, -52.0574, 0.6275, -0.6431, 0.3232, 0.2970, 0.0011, 0.0071, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1397, 7, -0.0254, -1.0085, 0.0395, -0.0198, -0.0800, -0.0025, -39.4427, -97.2056, 39.9245, 92.0709, -1.3524, -52.0592, 0.6275, -0.6431, 0.3232, 0.2970, 0.0018, 0.0095, -0.0034, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1597, 8, -0.0229, -1.0068, 0.0407, -0.0198, 0.0100, -0.0425, -39.6768, -95.9910, 39.6525, 92.0711, -1.3519, -52.0590, 0.6275, -0.6431, 0.3232, 0.2970, -0.0006, 0.0077, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1797, 9, -0.0225, -1.0063, 0.0418, -0.1098, -0.0500, 0.0475, -38.8281, -95.9627, 41.0423, 92.0736, -1.3491, -52.0599, 0.6275, -0.6431, 0.3232, 0.2970, -0.0010, 0.0072, -0.0056, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1997, 10, -0.0227, -1.0074, 0.0417, -0.0398, 0.0600, 0.0375, -38.5939, -95.8497, 40.4079, 92.0727, -1.3499, -52.0590, 0.6275, -0.6431, 0.3232, 0.2970, -0.0008, 0.0083, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2197, 11, -0.0240, -1.0053, 0.0408, 0.0002, 0.0100, 0.0975, -39.0915, -96.9796, 40.6798, 92.0624, -1.3551, -52.0580, 0.6275, -0.6431, 0.3232, 0.2970, 0.0005, 0.0063, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2397, 12, -0.0240, -1.0064, 0.0419, -0.0398, 0.1000, -0.0225, -39.9109, -97.1209, 40.9819, 92.0617, -1.3548, -52.0562, 0.6275, -0.6431, 0.3232, 0.2970, 0.0003, 0.0073, -0.0059, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2597, 13, -0.0241, -1.0060, 0.0406, -0.0698, 0.0700, -0.0125, -40.4963, -96.3582, 41.4049, 92.0598, -1.3547, -52.0544, 0.6276, -0.6431, 0.3232, 0.2970, 0.0004, 0.0070, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2797, 14, -0.0264, -1.0062, 0.0375, -0.0898, 0.0100, -0.0125, -39.2085, -96.7254, 39.6828, 92.0317, -1.3745, -52.0534, 0.6278, -0.6429, 0.3232, 0.2969, 0.0026, 0.0072, -0.0019, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2997, 15, -0.0255, -1.0051, 0.0386, 0.0202, 0.0600, 0.0775, -38.9744, -96.4429, 40.7402, 92.0320, -1.3765, -52.0529, 0.6278, -0.6429, 0.3232, 0.2969, 0.0015, 0.0060, -0.0032, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3197, 16, -0.0279, -1.0061, 0.0409, 0.1302, 0.0300, 0.0675, -39.3256, -95.9627, 40.5589, 92.0361, -1.3985, -52.0530, 0.6278, -0.6428, 0.3233, 0.2968, 0.0039, 0.0070, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
